开始时间,持续时间,事件大类,事件类别,内容类型,事件内容,备注,Tag,状态
2017-02-09 00:00,450,未分类,睡觉,未分类,,,,已完成
2017-02-09 07:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-09 08:00,240,未分类,工作,未分类,家教,,,已完成
2017-02-09 12:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-09 12:30,30,未分类,睡觉,未分类,午睡,,,已完成
2017-02-09 13:00,240,未分类,工作,未分类,家教,,,已完成
2017-02-09 17:00,60,未分类,浪费了,未分类,,,,已完成
2017-02-09 18:00,30,未分类,杂事,未分类,收拾,,,已完成
2017-02-09 18:30,120,未分类,工作,未分类,家教,,,已完成
2017-02-09 20:30,30,未分类,杂事,未分类,,,,已完成
2017-02-09 21:00,30,未分类,阅读,未分类,,,,已完成
2017-02-09 21:30,30,未分类,杂事,未分类,等车,,,已完成
2017-02-09 22:00,90,未分类,阅读,未分类,,,,已完成
2017-02-09 23:30,420,未分类,睡觉,未分类,,,,已完成
2017-02-10 06:30,15,未分类,杂事,未分类,,收拾东西,,已完成
2017-02-10 06:45,15,未分类,杂事,未分类,,,,已完成
2017-02-10 07:00,30,未分类,浪费了,未分类,,,,已完成
2017-02-10 07:30,30,未分类,杂事,未分类,,,,已完成
2017-02-10 08:00,30,未分类,杂事,未分类,收拾,,,已完成
2017-02-10 08:30,30,未分类,娱乐,未分类,看电影,,,已完成
2017-02-10 09:00,30,未分类,娱乐,未分类,,,,已完成
2017-02-10 09:30,90,未分类,娱乐,未分类,看电影,,,已完成
2017-02-10 11:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-10 11:30,60,未分类,运动,未分类,,,,已完成
2017-02-10 12:30,120,未分类,娱乐,未分类,看电影,,,已完成
2017-02-10 14:30,120,未分类,娱乐,未分类,,,,已完成
2017-02-10 16:30,180,未分类,浪费了,未分类,,,,已完成
2017-02-10 19:30,30,未分类,工作,未分类,,,,已完成
2017-02-10 20:00,120,未分类,杂事,未分类,,,,已完成
2017-02-10 22:00,30,未分类,浪费了,未分类,,,,已完成
2017-02-10 22:30,90,未分类,娱乐,未分类,看电影,,,已完成
2017-02-11 00:00,450,未分类,睡觉,未分类,,,,已完成
2017-02-11 07:30,30,未分类,杂事,未分类,,,,已完成
2017-02-11 08:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-11 08:30,60,未分类,学习,未分类,,,,已完成
2017-02-11 09:30,120,未分类,娱乐,未分类,,,,已完成
2017-02-11 11:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-11 12:00,270,未分类,娱乐,未分类,,,,已完成
2017-02-11 16:30,15,未分类,杂事,未分类,,收拾东西去团座那边,,已完成
2017-02-11 16:45,15,未分类,杂事,未分类,,,,已完成
2017-02-11 17:00,30,未分类,杂事,未分类,等车,,,已完成
2017-02-11 17:30,330,未分类,杂事,未分类,,,,已完成
2017-02-11 23:00,30,未分类,浪费了,未分类,,,,已完成
2017-02-11 23:30,450,未分类,睡觉,未分类,,,,已完成
2017-02-12 07:00,30,未分类,浪费了,未分类,,,,已完成
2017-02-12 07:30,30,未分类,杂事,未分类,,,,已完成
2017-02-12 08:00,60,未分类,杂事,未分类,吃饭,,,已完成
2017-02-12 09:00,150,未分类,娱乐,未分类,,,,已完成
2017-02-12 11:30,90,未分类,运动,未分类,,,,已完成
2017-02-12 13:00,60,未分类,杂事,未分类,看电影,,,已完成
2017-02-12 14:00,150,未分类,工作,未分类,,,,已完成
2017-02-12 16:30,60,未分类,杂事,未分类,吃饭,,,已完成
2017-02-12 17:30,60,未分类,睡觉,未分类,,,,已完成
2017-02-12 18:30,15,未分类,工作,未分类,,流量分析作业,,已完成
2017-02-12 18:45,15,未分类,工作,未分类,,,,已完成
2017-02-12 19:00,15,未分类,工作,未分类,,流量分析作业,,已完成
2017-02-12 19:15,15,未分类,工作,未分类,,,,已完成
2017-02-12 19:30,15,未分类,工作,未分类,,流量分析作业,,已完成
2017-02-12 19:45,255,未分类,工作,未分类,,,,已完成
2017-02-13 00:00,420,未分类,睡觉,未分类,,,,已完成
2017-02-13 07:00,30,未分类,浪费了,未分类,,,,已完成
2017-02-13 07:30,60,未分类,杂事,未分类,吃饭,,,已完成
2017-02-13 08:30,60,未分类,工作,未分类,,,,已完成
2017-02-13 09:30,60,未分类,杂事,未分类,,,,已完成
2017-02-13 10:30,15,未分类,工作,未分类,,开广汽的会,,已完成
2017-02-13 10:45,15,未分类,工作,未分类,,,,已完成
2017-02-13 11:00,15,未分类,工作,未分类,,开广汽的会,,已完成
2017-02-13 11:15,15,未分类,工作,未分类,,,,已完成
2017-02-13 11:30,60,未分类,运动,未分类,,,,已完成
2017-02-13 12:30,60,未分类,杂事,未分类,,,,已完成
2017-02-13 13:30,330,未分类,工作,未分类,,,,已完成
2017-02-13 19:00,60,未分类,杂事,未分类,洗澡,,,已完成
2017-02-13 20:00,210,未分类,娱乐,未分类,,,,已完成
2017-02-13 23:30,30,未分类,杂事,未分类,,,,已完成
2017-02-14 00:00,450,未分类,睡觉,未分类,,,,已完成
2017-02-14 07:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-14 08:00,60,未分类,浪费了,未分类,,,,已完成
2017-02-14 09:00,90,未分类,学习,未分类,,,,已完成
2017-02-14 10:30,30,未分类,杂事,未分类,,,,已完成
2017-02-14 11:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-14 11:30,120,未分类,工作,未分类,,,,已完成
2017-02-14 13:30,30,未分类,杂事,未分类,,,,已完成
2017-02-14 14:00,180,未分类,工作,未分类,,,,已完成
2017-02-14 17:00,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-14 17:30,60,未分类,娱乐,未分类,,,,已完成
2017-02-14 18:30,90,未分类,睡觉,未分类,,,,已完成
2017-02-14 20:00,30,未分类,杂事,未分类,,,,已完成
2017-02-14 20:30,60,未分类,娱乐,未分类,,,,已完成
2017-02-14 21:30,60,未分类,工作,未分类,,,,已完成
2017-02-14 22:30,60,未分类,工作,未分类,总结,,,已完成
2017-02-14 23:30,30,未分类,阅读,未分类,,,,已完成
2017-02-15 00:00,420,未分类,睡觉,未分类,,,,已完成
2017-02-15 07:00,30,未分类,杂事,未分类,收拾,,,已完成
2017-02-15 07:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-15 08:00,30,未分类,学习,未分类,,,,已完成
2017-02-15 08:30,90,未分类,工作,未分类,,,,已完成
2017-02-15 10:00,60,未分类,阅读,未分类,,,,已完成
2017-02-15 11:00,30,未分类,杂事,未分类,,,,已完成
2017-02-15 11:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-15 12:00,60,未分类,运动,未分类,,,,已完成
2017-02-15 13:00,60,未分类,工作,未分类,,,,已完成
2017-02-15 14:00,120,未分类,阅读,未分类,,,,已完成
2017-02-15 16:00,30,未分类,杂事,未分类,,,,已完成
2017-02-15 16:30,60,未分类,阅读,未分类,,,,已完成
2017-02-15 17:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-15 18:00,90,未分类,阅读,未分类,,,,已完成
2017-02-15 19:30,30,未分类,杂事,未分类,,,,已完成
2017-02-15 20:00,60,未分类,杂事,未分类,洗澡,,,已完成
2017-02-15 21:00,15,未分类,浪费了,未分类,,纠结买不买相机,,已完成
2017-02-15 21:15,15,未分类,浪费了,未分类,,,,已完成
2017-02-15 21:30,15,未分类,浪费了,未分类,,纠结买不买相机,,已完成
2017-02-15 21:45,15,未分类,浪费了,未分类,,,,已完成
2017-02-15 22:00,15,未分类,浪费了,未分类,,纠结买不买相机,,已完成
2017-02-15 22:15,15,未分类,浪费了,未分类,,,,已完成
2017-02-15 22:30,15,未分类,浪费了,未分类,,纠结买不买相机,,已完成
2017-02-15 22:45,15,未分类,浪费了,未分类,,,,已完成
2017-02-15 23:00,30,未分类,杂事,未分类,,,,已完成
2017-02-15 23:30,450,未分类,睡觉,未分类,,,,已完成
2017-02-16 07:00,30,未分类,杂事,未分类,,,,已完成
2017-02-16 07:30,120,未分类,浪费了,未分类,,,,已完成
2017-02-16 09:30,60,未分类,杂事,未分类,,,,已完成
2017-02-16 10:30,30,未分类,浪费了,未分类,,,,已完成
2017-02-16 11:00,90,未分类,工作,未分类,,,,已完成
2017-02-16 12:30,30,未分类,杂事,未分类,吃饭,,,已完成
2017-02-16 13:00,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 13:15,15,未分类,工作,未分类,,,,已完成
2017-02-16 13:30,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 13:45,15,未分类,工作,未分类,,,,已完成
2017-02-16 14:00,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 14:15,15,未分类,工作,未分类,,,,已完成
2017-02-16 14:30,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 14:45,15,未分类,工作,未分类,,,,已完成
2017-02-16 15:00,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 15:15,15,未分类,工作,未分类,,,,已完成
2017-02-16 15:30,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 15:45,15,未分类,工作,未分类,,,,已完成
2017-02-16 16:00,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 16:15,15,未分类,工作,未分类,,,,已完成
2017-02-16 16:30,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 16:45,15,未分类,工作,未分类,,,,已完成
2017-02-16 17:00,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 17:15,15,未分类,工作,未分类,,,,已完成
2017-02-16 17:30,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 17:45,15,未分类,工作,未分类,,,,已完成
2017-02-16 18:00,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 18:15,15,未分类,工作,未分类,,,,已完成
2017-02-16 18:30,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 18:45,15,未分类,工作,未分类,,,,已完成
2017-02-16 19:00,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 19:15,15,未分类,工作,未分类,,,,已完成
2017-02-16 19:30,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 19:45,15,未分类,工作,未分类,,,,已完成
2017-02-16 20:00,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 20:15,15,未分类,工作,未分类,,,,已完成
2017-02-16 20:30,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 20:45,15,未分类,工作,未分类,,,,已完成
2017-02-16 21:00,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 21:15,15,未分类,工作,未分类,,,,已完成
2017-02-16 21:30,15,未分类,工作,未分类,,定性作业,,已完成
2017-02-16 21:45,15,未分类,工作,未分类,,,,已完成
2017-02-16 22:00,30,未分类,阅读,未分类,,,,已完成
2017-02-16 22:30,30,未分类,杂事,未分类,,,,已完成
2017-02-16 23:00,15,未分类,杂事,未分类,,讨论老娘第一次跑步,,已完成
2017-02-16 23:15,45,未分类,杂事,未分类,,,,已完成
2017-02-17 00:00,390,未分类,睡觉,未分类,,,,已完成
2017-02-17 06:30,60,未分类,杂事,未分类,吃饭,,,已完成
2017-02-17 07:30,15,未分类,娱乐,未分类,,暴走大事件,,已完成
2017-02-17 07:45,45,未分类,娱乐,未分类,,,,已完成
2017-02-17 08:30,15,未分类,学习,未分类,,可用性测试的敏捷模式,,已完成
2017-02-17 08:45,15,未分类,学习,未分类,,,,已完成
2017-02-17 09:00,15,未分类,学习,未分类,,可用性测试的敏捷模式,,已完成
2017-02-17 09:15,45,未分类,学习,未分类,,,,已完成
