编号,我愿意频繁使用这个系统,我认为这个系统是简单的,我认为这个系统用起来很容易,我认为我不需要技术人员的帮助就能使用这个系统,我认为系统里的各项功能整合良好,我认为系统的交互具有良好的一致性,我想大多数人都能很快学会使用这个系统,这个系统的交互方式很直观,我对使用这个系统感到有信心,在使用这个系统前我不需要学习任何的新知识,这个系统在工作中非常有用,我发现这个系统很容易使用,您的性别是,到目前为止使用网购时间,专业
1,4,4,4,5,3,3,4,5,4,5,4,4,1,C.3-7年（含7年）,艺术设计
2,3,4,4,4,4,3,4,4,4,3,4,4,1,D.7-10年（含10年）,艺术设计
3,3,5,4,4,2,3,4,4,3,3,3,5,0,C.3-7年（含7年）,艺术设计
4,4,4,3,5,2,2,5,5,4,5,4,4,0,B.1-3年（含3年）,艺术设计
5,5,4,2,3,3,3,4,5,5,4,5,4,1,C.3-7年（含7年）,艺术设计
6,2,4,3,1,2,3,4,4,3,4,3,2,1,D.7-10年（含10年）,工业设计
7,2,4,3,1,2,3,4,4,2,2,3,3,0,C.3-7年（含7年）,艺术设计
8,2,4,2,5,3,4,5,5,2,3,5,5,0,C.3-7年（含7年）,艺术设计
9,2,4,2,5,3,4,4,4,2,5,3,1,0,C.3-7年（含7年）,艺术设计
10,3,4,3,4,2,2,3,3,4,4,3,2,1,C.3-7年（含7年）,艺术设计
