sub,trial,web,time,control,blink,fix,med_dur,med_sac
3.0,c,t,47.0,18.0,17,134,248,2.16
2.0,r,j,43.0,11.0,10,155,264,1.71
9.0,c,j,52.0,12.0,56,347,216,2.13
10.0,r,j,37.0,19.0,36,272,244,1.26
8.0,r,t,31.0,13.0,5,100,286,2.35
1.0,c,t,108.0,27.0,11,190,202,3.34
4.0,r,j,33.0,10.0,43,154,212,1.48
5.0,c,t,59.0,12.0,9,242,220,2.57
7.0,c,t,57.0,16.0,9,117,308,2.26
6.0,r,j,55.0,18.0,22,159,204,1.37
10.0,c,t,41.0,13.0,12,188,204,4.16
9.0,r,t,22.0,11.0,5,58,278,2.97
1.0,r,j,47.0,14.0,92,463,204,1.83
8.0,c,j,45.0,16.0,7,196,204,2.35
3.0,r,j,31.0,19.0,34,142,242,2.19
2.0,c,t,51.0,11.0,7,124,222,3.35
7.0,r,j,60.0,14.0,25,162,260,1.71
6.0,c,t,64.0,22.0,11,144,246,2.28
4.0,c,t,37.0,10.0,15,119,224,1.83
5.0,r,j,43.0,14.0,14,77,188,1.93
10.0,c,j,48.0,15.0,14,177,208,3.27
9.0,r,j,36.0,15.0,58,350,256,1.62
1.0,r,t,42.0,12.0,11,123,208,2.77
8.0,c,t,37.0,13.0,8,148,194,2.37
3.0,r,t,24.0,11.0,6,86,258,4.42
2.0,c,j,71.0,22.0,9,163,216,2.32
7.0,r,t,47.0,13.0,9,139,268,2.27
6.0,c,j,72.0,16.0,11,217,220,2.09
4.0,c,j,43.0,10.0,23,143,228,3.02
5.0,r,t,44.0,12.0,12,132,208,1.92
3.0,c,j,50.0,16.0,18,145,260,2.28
2.0,r,t,43.0,9.0,5,124,238,1.96
9.0,c,t,44.0,10.0,41,351,216,2.65
10.0,r,t,31.0,16.0,6,109,252,2.75
8.0,r,j,41.0,16.0,29,196,200,1.82
1.0,c,j,117.0,28.0,13,205,192,2.41
4.0,r,t,38.0,10.0,11,73,248,3.18
5.0,c,j,39.0,13.0,6,198,238,2.38
7.0,c,j,48.0,13.0,15,166,242,2.07
6.0,r,t,29.0,13.0,5,66,246,3.69
