RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_SAC_DURATION,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_ANGLE,CURRENT_SAC_AVG_VELOCITY,TRIAL_SACCADE_TOTAL
07_f_24,1,40,7.03,137,184.83,189
07_f_24,1,20,0.57,81.4,40.72,189
07_f_24,1,36,6.89,-36.56,192.12,189
07_f_24,1,44,5.49,129.8,126.75,189
07_f_24,1,56,12.01,-48.19,212.32,189
07_f_24,1,40,6.89,156.76,171.97,189
07_f_24,1,32,6.82,-17.42,214.38,189
07_f_24,1,48,7.08,142.15,149.03,189
07_f_24,1,40,6.1,9.82,153.15,189
07_f_24,1,20,0.92,49.07,48.65,189
07_f_24,1,24,3.6,-165.23,146.91,189
07_f_24,1,228,4.56,-1.33,264.11,189
07_f_24,1,44,7.07,-86.44,165.57,189
07_f_24,1,52,9.11,118.03,196.81,189
07_f_24,1,48,7.86,-64.59,172.37,189
07_f_24,1,52,10.89,155.58,214.94,189
07_f_24,1,44,7.42,23.64,168.36,189
07_f_24,1,12,0.38,-82.52,32.27,189
07_f_24,1,12,0.44,169.46,34.06,189
07_f_24,1,20,1.53,-49.31,69.75,189
07_f_24,1,24,2.37,-81.26,96.07,189
07_f_24,1,20,0.93,87.83,43.5,189
07_f_24,1,28,2.65,150.3,94,189
07_f_24,1,16,0.72,73.69,39.92,189
07_f_24,1,12,0.43,81.85,33.46,189
07_f_24,1,44,8.4,0.97,188.12,189
07_f_24,1,16,0.87,-4.11,48.55,189
07_f_24,1,44,7.21,-163.74,162.88,189
07_f_24,1,400,4.8,6.65,292.29,189
07_f_24,1,40,3.56,45.81,125.74,189
07_f_24,1,20,0.26,-170.62,34.08,189
07_f_24,1,12,0.47,20.58,36.62,189
07_f_24,1,48,9.85,-177.49,205.51,189
07_f_24,1,16,0.88,-2.54,54.88,189
07_f_24,1,44,9.47,153.59,215.36,189
07_f_24,1,8,0.25,-141.93,35.41,189
07_f_24,1,48,8.61,-44.95,179.03,189
07_f_24,1,56,9.12,-73.77,163.12,189
07_f_24,1,40,5.95,124.44,150.22,189
07_f_24,1,52,8.08,34.77,155.91,189
07_f_24,1,40,5.03,22.18,126.17,189
07_f_24,1,220,12.56,-175.64,174.29,189
07_f_24,1,60,15.36,-43.24,259.89,189
07_f_24,1,48,8.78,171.79,182.24,189
07_f_24,1,24,2.48,153.23,105.49,189
07_f_24,1,40,6.99,122.87,175.52,189
07_f_24,1,64,13.59,-24.81,213.41,189
07_f_24,1,56,5.86,-79.29,106.36,189
07_f_24,1,48,8.98,-171.93,188.05,189
07_f_24,1,48,7.64,91.5,168.25,189
07_f_24,1,24,2.29,-123.23,93.09,189
07_f_24,1,20,1.28,-116.76,59.31,189
07_f_24,1,16,0.78,152.16,46.61,189
07_f_24,1,36,6.82,0.8,188.43,189
07_f_24,1,28,3.35,-0.23,118.57,189
07_f_24,1,8,0.17,175.5,30.46,189
07_f_24,1,24,1.44,98.08,65.83,189
07_f_24,1,44,7.44,-12.86,165.8,189
07_f_24,1,24,2.51,176.35,98.3,189
07_f_24,1,28,4.31,74.25,153.73,189
07_f_24,1,24,2.28,-92.56,90.02,189
07_f_24,1,20,0.92,-98.5,47.81,189
07_f_24,1,32,1.12,-118.81,60.77,189
07_f_24,1,12,0.51,-4.78,47.03,189
07_f_24,1,20,1.36,173.91,61.72,189
07_f_24,1,68,13.66,138.15,204.86,189
07_f_24,1,60,10.67,-89.55,179.69,189
07_f_24,1,20,1.58,-145.9,71.19,189
07_f_24,1,28,3.51,141.03,127.45,189
07_f_24,1,44,9.5,1.78,219.45,189
07_f_24,1,24,3.54,-101.15,145.9,189
07_f_24,1,8,0.25,-28.96,38.77,189
07_f_24,1,40,6.23,57.8,159.82,189
07_f_24,1,184,3.15,-163.22,232.94,189
07_f_24,1,20,1.97,-113.03,91.63,189
07_f_24,1,20,1.76,94.49,84.18,189
07_f_24,1,48,7.65,11.44,161.45,189
07_f_24,1,24,2.65,-17.5,111.73,189
07_f_24,1,64,14.31,-143.1,232.14,189
07_f_24,1,24,1.79,-28.42,70.98,189
07_f_24,1,8,0.26,-150.59,40.75,189
07_f_24,1,44,5.44,101.65,124.98,189
07_f_24,1,24,1.89,-152.19,86.07,189
07_f_24,1,8,0.28,-65.25,45.37,189
07_f_24,1,24,3.01,12.62,128.12,189
07_f_24,1,24,1.77,77.64,72.93,189
07_f_24,1,20,1.22,-27.57,56.09,189
07_f_24,1,40,4.68,0,114.66,189
07_f_24,1,24,2.2,0.5,91.19,189
07_f_24,1,16,0.92,174.4,49.69,189
07_f_24,1,28,2.96,-2.06,105.86,189
07_f_24,1,52,11.28,178.99,219.7,189
