RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_MSG_LABEL,CURRENT_MSG_TEXT
01_m_26,1,Message: 49 ms,Control_tmall_Start_at_18:44:14
01_m_26,2,Message: 41 ms,Control_jd_Start_at_18:47:08
01_m_26,3,Message: 47 ms,Record_jd_Start_at_18:53:00
01_m_26,4,Message: 252 ms,Record_tmall_Start_at_18:55:48
04_f_24,1,Message: 44 ms,Control_jd_Start_at_21:58:14
04_f_24,2,Message: 42 ms,Control_tmall_Start_at_21:59:48
04_f_24,3,Message: 47 ms,Record_tmall_Start_at_22:04:02
04_f_24,4,Message: 43 ms,Record_jd_Start_at_22:05:55
10_m_24,1,Message: 45 ms,Control_jd_Start_at_20:55:37
10_m_24,2,Message: 45 ms,Control_tmall_Start_at_20:57:31
10_m_24,3,Message: 47 ms,Record_jd_Start_at_21:02:16
10_m_24,4,Message: 40 ms,Record_tmall_Start_at_21:04:29
08_f_24,1,Message: 48 ms,Control_jd_Start_at_17:15:35
08_f_24,2,Message: 47 ms,Control_tmall_Start_at_17:17:12
08_f_24,3,Message: 43 ms,Record_jd_Start_at_17:21:06
08_f_24,4,Message: 45 ms,Record_tmall_Start_at_17:23:29
09_f_24,1,Message: 43 ms,Control_tmall_Start_at_20:30:33
09_f_24,2,Message: 41 ms,Control_jd_Start_at_20:32:11
09_f_24,3,Message: 49 ms,Record_tmall_Start_at_20:37:54
09_f_24,4,Message: 50 ms,Record_jd_Start_at_20:40:34
06_m_26,1,Message: 47 ms,Control_jd_Start_at_14:34:33
06_m_26,2,Message: 47 ms,Control_tmall_Start_at_14:36:39
06_m_26,3,Message: 47 ms,Record_tmall_Start_at_14:41:29
06_m_26,4,Message: 46 ms,Record_jd_Start_at_14:43:16
03_f_24,1,Message: 48 ms,Control_jd_Start_at_21:35:20
03_f_24,2,Message: 47 ms,Control_tmall_Start_at_21:37:00
03_f_24,3,Message: 47 ms,Record_tmall_Start_at_21:42:25
03_f_24,4,Message: 48 ms,Record_jd_Start_at_21:45:15
02_m_26,1,Message: 48 ms,Control_jd_Start_at_21:05:50
02_m_26,2,Message: 47 ms,Control_tmall_Start_at_21:07:49
02_m_26,3,Message: 49 ms,Record_tmall_Start_at_21:12:52
02_m_26,4,Message: 47 ms,Record_jd_Start_at_21:14:47
07_f_24,1,Message: 46 ms,Control_jd_Start_at_16:49:35
07_f_24,2,Message: 45 ms,Control_tmall_Start_at_16:51:18
07_f_24,3,Message: 49 ms,Record_jd_Start_at_16:55:34
07_f_24,4,Message: 41 ms,Record_tmall_Start_at_16:59:23
05_m_23,1,Message: 48 ms,Control_tmall_Start_at_22:16:09
05_m_23,2,Message: 45 ms,Control_jd_Start_at_22:17:46
05_m_23,3,Message: 47 ms,Record_jd_Start_at_22:22:36
05_m_23,4,Message: 48 ms,Record_tmall_Start_at_22:24:56
