RECORDING_SESSION_LABEL,INDEX,BLINK_COUNT,FIXATION_COUNT,MEDIAN_FIXATION_DURATION,MEDIAN_SACCADE_AMPLITUDE
05_m_24,1,8,128,216,2.3
05_m_24,2,12,132,208,1.92
06_m_25,1,12,131,240,2.69
06_m_25,2,5,66,246,3.69
07_m_27,1,9,108,250,2.09
07_m_27,2,9,139,268,2.27
08_f_24,1,5,79,232,3.13
08_f_24,2,5,100,286,2.35
09_f_25,1,6,96,262,3.73
09_f_25,2,5,58,278,2.97
10_f_24,1,3,78,280,2.54
10_f_24,2,6,109,252,2.75
01_m_27,1,5,106,232,2.85
01_m_27,2,11,123,208,2.77
02_f_24,1,5,130,218,3.33
02_f_24,2,5,124,238,1.96
03_f_24,1,6,64,284,4.96
03_f_24,2,6,86,258,4.42
04_m_25,1,11,91,248,2.48
04_m_25,2,11,73,248,3.18
